type,sensor,value,timestamp
"watt","sumPerDay",29160,1414796423
"watt","sumPerDay",28824,1414882801
"watt","sumPerDay",35016,1414969213
"watt","sumPerDay",30624,1415055634
"watt","sumPerDay",37344,1415142033
"watt","sumPerDay",44928,1415228480
"watt","sumPerDay",39792,1415314916
"watt","sumPerDay",40440,1415401217
"watt","sumPerDay",42456,1415487613
"watt","sumPerDay",39792,1415574079
"watt","sumPerDay",47952,1415660456
"watt","sumPerDay",41208,1415746817
"watt","sumPerDay",36576,1415833362
"watt","sumPerDay",39144,1415919612
"watt","sumPerDay",38160,1416006197
"watt","sumPerDay",34152,1416092452
"watt","sumPerDay",32184,1416178866
"watt","sumPerDay",32304,1416265228
"watt","sumPerDay",46944,1416351659
"watt","sumPerDay",43752,1416438050
"watt","sumPerDay",41088,1416524418
"watt","sumPerDay",42480,1416610837
"watt","sumPerDay",38856,1416697242
"watt","sumPerDay",36576,1416783617
"watt","sumPerDay",35976,1416870028
"watt","sumPerDay",42000,1416956413
"watt","sumPerDay",29352,1417042942
"watt","sumPerDay",31200,1417129471
"watt","sumPerDay",25440,1417215683
"watt","sumPerDay",50136,1417302006
"watt","sumPerDay",56520,1417388452
"watt","sumPerDay",48768,1417474813
"watt","sumPerDay",56400,1417561215
"watt","sumPerDay",58272,1417647613
"watt","sumPerDay",54240,1417734092
"watt","sumPerDay",64176,1417820440
"watt","sumPerDay",55920,1417906822
"watt","sumPerDay",56928,1417993232
"watt","sumPerDay",54240,1418079627
"watt","sumPerDay",55944,1418166000
"watt","sumPerDay",48192,1418252416
"watt","sumPerDay",43824,1418339186
"watt","sumPerDay",40944,1418425243
"watt","sumPerDay",48384,1418511621
"watt","sumPerDay",48792,1418598020
"watt","sumPerDay",65208,1418684474
"watt","sumPerDay",47688,1418770806
"watt","sumPerDay",37128,1418857202
"watt","sumPerDay",39672,1418943634
"watt","sumPerDay",43368,1419030030
"watt","sumPerDay",46968,1419116451
"watt","sumPerDay",50856,1419202923
"watt","sumPerDay",45720,1419289244
"watt","sumPerDay",37848,1419375621
"watt","sumPerDay",44832,1419462003
"watt","sumPerDay",38328,1419548414
"watt","sumPerDay",48960,1419634858
"watt","sumPerDay",54624,1419721206
"watt","sumPerDay",78168,1419807653
"watt","sumPerDay",80736,1419894026
"watt","sumPerDay",67680,1419980431
"watt","sumPerDay",66216,1420066809
"watt","sumPerDay",66984,1420153201
"watt","sumPerDay",65616,1420239604
"watt","sumPerDay",51480,1420326008
"watt","sumPerDay",45312,1420412451
"watt","sumPerDay",55704,1420498836
"watt","sumPerDay",61152,1420585206
"watt","sumPerDay",59448,1420671672
"watt","sumPerDay",44760,1420758111
"watt","sumPerDay",40392,1420844450
"watt","sumPerDay",38736,1420930851
"watt","sumPerDay",44064,1421017276
"watt","sumPerDay",40176,1421103755
